chunk_id,event,decoded_count,timestamp
1,6,SENT,8,1780136044.8327363
1,18,SENT,8,1780136045.5687203
1,5,SENT,8,1780136045.988706
1,0,SENT,8,1780136046.70071
1,37,SENT,8,1780136047.0447068
1,16,RECOVERED,9,1780136061.0915403
1,16,SENT,9,1780136067.852731
1,13,RECOVERED,10,1780136078.005578
1,13,SENT,10,1780136079.4807374
1,30,RECOVERED,11,1780136087.712232
1,32,RECOVERED,12,1780136087.7156096
1,28,RECOVERED,13,1780136087.716308
1,1,RECOVERED,14,1780136087.7172477
1,23,RECOVERED,15,1780136089.942923
1,4,RECOVERED,16,1780136091.027585
1,22,RECOVERED,17,1780136091.0288017
1,34,RECOVERED,18,1780136091.0297644
1,17,RECOVERED,19,1780136091.030797
1,15,RECOVERED,20,1780136091.0318766
1,19,RECOVERED,21,1780136091.0331576
1,36,RECOVERED,22,1780136091.0345352
1,3,RECOVERED,23,1780136091.035599
1,31,RECOVERED,24,1780136091.0366602
1,2,RECOVERED,25,1780136091.0379643
1,35,RECOVERED,26,1780136091.039124
1,29,RECOVERED,27,1780136091.0401704
1,25,RECOVERED,28,1780136091.0412638
1,33,RECOVERED,29,1780136091.0421476
1,26,RECOVERED,30,1780136091.0431848
1,12,RECOVERED,31,1780136091.0442512
1,24,RECOVERED,32,1780136091.0486655
1,14,RECOVERED,33,1780136091.0500317
1,9,RECOVERED,34,1780136091.0509894
1,10,RECOVERED,35,1780136091.0520957
1,27,RECOVERED,36,1780136091.0542963
1,8,RECOVERED,37,1780136091.0553105
1,7,RECOVERED,38,1780136091.0563722
1,-1,COMPLETE_89.92,38,1780136091.0573783
1,30,SENT,38,1780136092.0047262
1,32,SENT,38,1780136092.7127318
1,28,SENT,38,1780136093.1167321
1,1,SENT,38,1780136093.5487533
1,23,SENT,38,1780136094.1367307
1,4,SENT,38,1780136095.0407321
1,22,SENT,38,1780136095.6647325
1,34,SENT,38,1780136096.096724
1,17,SENT,38,1780136096.7887447
1,15,SENT,38,1780136097.532746
1,19,SENT,38,1780136103.820732
1,36,SENT,38,1780136104.368732
1,3,SENT,38,1780136105.2887247
1,31,SENT,38,1780136105.7607388
1,2,SENT,38,1780136106.6487272
1,35,SENT,38,1780136107.352722
1,29,SENT,38,1780136107.9167218
1,25,SENT,38,1780136108.3407168
1,33,SENT,38,1780136109.260717
1,26,SENT,38,1780136115.5687325
1,12,SENT,38,1780136116.0287085
1,24,SENT,38,1780136116.688721
1,14,SENT,38,1780136117.1327336
1,9,SENT,38,1780136117.692721
1,10,SENT,38,1780136118.296725
1,27,SENT,38,1780136118.7727208
1,8,SENT,38,1780136119.656725
1,7,SENT,38,1780136120.1167066
1,10,RECOVERED,1,1780138619.868245
1,22,RECOVERED,2,1780138622.0537963
1,17,RECOVERED,3,1780138623.140251
1,10,SENT,3,1780138623.9651678
1,22,SENT,3,1780138624.7606602
1,17,SENT,3,1780138625.621167
1,4,RECOVERED,4,1780138630.833212
1,13,RECOVERED,5,1780138634.1406262
1,4,SENT,5,1780138634.6291804
1,13,SENT,5,1780138635.417162
1,35,RECOVERED,6,1780138653.6849391
1,0,RECOVERED,7,1780138658.0581024
1,5,RECOVERED,8,1780138658.0595071
1,33,RECOVERED,9,1780138659.1371243
1,35,SENT,9,1780138659.7331407
1,0,SENT,9,1780138660.63714
1,5,SENT,9,1780138661.2491786
1,33,SENT,9,1780138661.6331463
1,28,RECOVERED,10,1780138670.0915482
1,12,RECOVERED,11,1780138671.1716297
1,28,SENT,11,1780138671.9531624
1,12,SENT,11,1780138672.4691522
1,27,RECOVERED,12,1780138692.980747
1,3,RECOVERED,13,1780138692.9841144
1,11,RECOVERED,14,1780138694.0611804
1,27,SENT,14,1780138696.081187
1,3,SENT,14,1780138696.805164
1,11,SENT,14,1780138697.441159
1,34,RECOVERED,15,1780138701.6952837
1,9,RECOVERED,16,1780138701.6987088
1,29,RECOVERED,17,1780138701.6995678
1,2,RECOVERED,18,1780138701.7003856
1,16,RECOVERED,19,1780138701.7014992
1,25,RECOVERED,20,1780138701.7025423
1,32,RECOVERED,21,1780138701.703614
1,23,RECOVERED,22,1780138701.7045197
1,21,RECOVERED,23,1780138701.7056806
1,26,RECOVERED,24,1780138701.706743
1,20,RECOVERED,25,1780138701.707846
1,19,RECOVERED,26,1780138701.7086942
1,15,RECOVERED,27,1780138701.7099166
1,30,RECOVERED,28,1780138701.7110586
1,14,RECOVERED,29,1780138701.7123191
1,36,RECOVERED,30,1780138701.713254
1,8,RECOVERED,31,1780138701.714504
1,18,RECOVERED,32,1780138701.7156794
1,37,RECOVERED,33,1780138701.71681
1,1,RECOVERED,34,1780138701.7177417
1,31,RECOVERED,35,1780138701.7189894
1,6,RECOVERED,36,1780138701.7234948
1,7,RECOVERED,37,1780138701.7245805
1,34,SENT,37,1780138706.5531642
1,9,SENT,37,1780138707.3131614
1,29,SENT,37,1780138707.7811623
1,2,SENT,37,1780138708.617159
1,16,SENT,37,1780138709.13715
1,25,SENT,37,1780138709.573149
1,32,SENT,37,1780138710.3611584
1,23,SENT,37,1780138710.7811508
1,21,SENT,37,1780138711.6331475
1,26,SENT,37,1780138712.457151
1,20,SENT,37,1780138718.5891733
1,19,SENT,37,1780138719.485157
1,15,SENT,37,1780138719.9131331
1,30,SENT,37,1780138720.2811544
1,14,SENT,37,1780138720.792309
1,36,SENT,37,1780138721.4442816
1,8,SENT,37,1780138721.8961892
1,18,SENT,37,1780138722.744273
1,37,SENT,37,1780138723.4003093
1,1,SENT,37,1780138723.8491473
1,31,SENT,37,1780138724.5011783
1,6,SENT,37,1780138731.6371617
1,7,SENT,37,1780138732.0131755
1,26,RECOVERED,1,1780138822.4454858
1,32,RECOVERED,2,1780138824.628532
1,26,SENT,2,1780138828.717185
1,32,SENT,2,1780138829.4051557
1,4,RECOVERED,3,1780138837.848817
1,8,RECOVERED,4,1780138837.8500757
1,7,RECOVERED,5,1780138837.8510325
1,4,SENT,5,1780138839.4091382
1,8,SENT,5,1780138839.9011424
1,7,SENT,5,1780138840.5131402
1,23,RECOVERED,6,1780138846.4817963
1,20,RECOVERED,7,1780138846.4830194
1,9,RECOVERED,8,1780138850.871097
1,29,RECOVERED,9,1780138850.8743489
1,23,SENT,9,1780138852.669148
1,20,SENT,9,1780138853.305148
1,9,SENT,9,1780138854.1171474
1,29,SENT,9,1780138855.0331492
1,14,RECOVERED,10,1780138861.8555892
1,30,RECOVERED,11,1780138862.9415271
1,14,SENT,11,1780138863.4931757
1,30,SENT,11,1780138864.0091746
1,6,RECOVERED,12,1780138871.601536
1,0,RECOVERED,13,1780138871.6027288
1,6,SENT,13,1780138876.5171719
1,0,SENT,13,1780138877.0491424
1,24,RECOVERED,14,1780138883.5801163
1,2,RECOVERED,15,1780138883.5834675
1,25,RECOVERED,16,1780138883.5844462
1,3,RECOVERED,17,1780138883.5854154
1,11,RECOVERED,18,1780138883.5864182
1,22,RECOVERED,19,1780138883.5872707
1,18,RECOVERED,20,1780138883.5883524
1,5,RECOVERED,21,1780138883.589379
1,24,SENT,21,1780138888.821156
1,2,SENT,21,1780138889.4731452
1,25,SENT,21,1780138890.189148
1,3,SENT,21,1780138890.7171504
1,11,SENT,21,1780138891.5211504
1,22,SENT,21,1780138892.1691513
1,18,SENT,21,1780138893.033139
1,37,RECOVERED,22,1780138897.8087516
1,1,RECOVERED,23,1780138897.811991
1,10,RECOVERED,24,1780138897.8131576
1,12,RECOVERED,25,1780138897.8141284
1,35,RECOVERED,26,1780138897.8155966
1,36,RECOVERED,27,1780138897.8164804
1,16,RECOVERED,28,1780138897.8177388
1,27,RECOVERED,29,1780138900.017115
1,15,RECOVERED,30,1780138900.0182676
1,34,RECOVERED,31,1780138900.0192266
1,19,RECOVERED,32,1780138900.0208857
1,28,RECOVERED,33,1780138900.0223837
1,17,RECOVERED,34,1780138900.0233881
1,13,RECOVERED,35,1780138900.024238
1,21,RECOVERED,36,1780138900.0253472
1,33,RECOVERED,37,1780138900.0263572
1,31,RECOVERED,38,1780138900.0275023
1,-1,COMPLETE_91.12,38,1780138900.0287938
1,5,SENT,38,1780138900.4531593
1,37,SENT,38,1780138901.2131584
1,1,SENT,38,1780138901.6251476
1,10,SENT,38,1780138902.1851394
1,12,SENT,38,1780138902.6531503
1,35,SENT,38,1780138903.0171347
1,36,SENT,38,1780138903.7091608
1,16,SENT,38,1780138904.1691473
1,27,SENT,38,1780138904.8811429
1,15,SENT,38,1780138905.6091511
1,34,SENT,38,1780138911.3451698
1,19,SENT,38,1780138912.2051487
1,28,SENT,38,1780138913.1131558
1,17,SENT,38,1780138913.645151
1,13,SENT,38,1780138914.5331697
1,21,SENT,38,1780138915.4371789
1,33,SENT,38,1780138916.3571897
1,31,SENT,38,1780138917.124428
1,18,RECOVERED,1,1780305227.7503383
1,33,RECOVERED,2,1780305240.952663
1,30,RECOVERED,3,1780305240.9558463
1,18,SENT,3,1780305245.7641232
1,33,SENT,3,1780305246.6561093
1,30,SENT,3,1780305247.3761094
1,37,RECOVERED,4,1780305252.726045
1,11,RECOVERED,5,1780305265.9787688
1,37,SENT,5,1780305267.4161098
1,11,SENT,5,1780305267.8121254
1,25,RECOVERED,6,1780305273.5621345
1,4,RECOVERED,7,1780305273.5633352
1,25,SENT,7,1780305279.9121218
1,4,SENT,7,1780305280.808099
1,13,RECOVERED,8,1780305287.889353
1,0,RECOVERED,9,1780305287.8925512
1,26,RECOVERED,10,1780305287.8934271
1,10,RECOVERED,11,1780305287.894256
1,13,SENT,11,1780305292.2241244
1,0,SENT,11,1780305292.8520987
1,26,SENT,11,1780305293.424106
1,10,SENT,11,1780305294.0921257
1,27,RECOVERED,12,1780305297.6138732
1,23,RECOVERED,13,1780305297.6171303
1,6,RECOVERED,14,1780305298.6965153
1,31,RECOVERED,15,1780305299.7800446
1,21,RECOVERED,16,1780305303.0466545
1,2,RECOVERED,17,1780305303.049881
1,15,RECOVERED,18,1780305303.0509965
1,34,RECOVERED,19,1780305303.0520563
1,14,RECOVERED,20,1780305303.0539987
1,1,RECOVERED,21,1780305303.0548933
1,19,RECOVERED,22,1780305303.0562112
1,27,SENT,22,1780305303.43211
1,23,SENT,22,1780305303.8960967
1,6,SENT,22,1780305304.3360975
1,31,SENT,22,1780305304.8280914
1,21,SENT,22,1780305305.720104
1,2,SENT,22,1780305306.4321167
1,15,SENT,22,1780305307.0641134
1,34,SENT,22,1780305307.7921014
1,14,SENT,22,1780305308.3601098
1,7,RECOVERED,23,1780305315.074789
1,1,SENT,23,1780305315.920134
1,19,SENT,23,1780305316.4081016
1,7,SENT,23,1780305316.7921
1,22,RECOVERED,24,1780305322.7470136
1,5,RECOVERED,25,1780305322.7482762
1,28,RECOVERED,26,1780305322.7493806
1,24,RECOVERED,27,1780305322.750272
1,12,RECOVERED,28,1780305322.7512555
1,29,RECOVERED,29,1780305322.7522848
1,3,RECOVERED,30,1780305322.7533054
1,16,RECOVERED,31,1780305322.754175
1,20,RECOVERED,32,1780305322.7552536
1,22,SENT,32,1780305329.3481166
1,5,SENT,32,1780305329.8681269
1,28,SENT,32,1780305330.2881184
1,24,SENT,32,1780305331.2361128
1,12,SENT,32,1780305332.1121268
1,35,RECOVERED,33,1780305336.9111724
1,9,RECOVERED,34,1780305346.6870608
1,29,SENT,34,1780305351.5160992
1,3,SENT,34,1780305352.388107
1,16,SENT,34,1780305353.0681102
1,20,SENT,34,1780305353.6121082
1,35,SENT,34,1780305354.4801111
1,9,SENT,34,1780305355.344134
1,8,RECOVERED,35,1780305358.863639
1,32,RECOVERED,36,1780305358.866785
1,36,RECOVERED,37,1780305358.8675678
1,8,SENT,37,1780305363.7640991
1,32,SENT,37,1780305364.2240922
1,36,SENT,37,1780305364.7960954
1,17,RECOVERED,38,1780305491.7165327
1,-1,COMPLETE_267.60,38,1780305491.716761
1,17,SENT,38,1780305494.4840946
1,13,RECOVERED,1,1780305976.8222244
1,13,SENT,1,1780305981.7281227
1,24,RECOVERED,2,1780305992.1698713
1,24,SENT,2,1780305993.8241148
1,34,RECOVERED,3,1780306010.2399745
1,11,RECOVERED,4,1780306012.877278
1,9,RECOVERED,5,1780306016.1464982
1,34,SENT,5,1780306017.6441083
1,11,SENT,5,1780306018.5561068
1,9,SENT,5,1780306019.3320928
1,4,RECOVERED,6,1780306023.726197
1,6,RECOVERED,7,1780306023.7273967
1,29,RECOVERED,8,1780306027.0370374
1,14,RECOVERED,9,1780306027.0383325
1,8,RECOVERED,10,1780306027.0398612
1,28,RECOVERED,11,1780306027.040946
1,32,RECOVERED,12,1780306028.120553
1,31,RECOVERED,13,1780306028.121882
1,4,SENT,13,1780306030.036122
1,6,SENT,13,1780306030.7601113
1,29,SENT,13,1780306031.2481108
1,14,SENT,13,1780306031.9481194
1,8,SENT,13,1780306032.5281165
1,28,SENT,13,1780306032.992102
1,32,SENT,13,1780306033.8401027
1,31,SENT,13,1780306034.5761101
1,23,RECOVERED,14,1780306040.2043283
1,23,SENT,14,1780306042.0321362
1,36,RECOVERED,15,1780306049.978041
1,36,SENT,15,1780306054.0521224
1,12,RECOVERED,16,1780306070.244086
1,0,RECOVERED,17,1780306070.2451615
1,27,RECOVERED,18,1780306070.246129
1,3,RECOVERED,19,1780306070.2469652
1,19,RECOVERED,20,1780306070.2480483
1,30,RECOVERED,21,1780306070.2490785
1,1,RECOVERED,22,1780306070.250141
1,21,RECOVERED,23,1780306070.2510612
1,5,RECOVERED,24,1780306070.2521741
1,2,RECOVERED,25,1780306070.25409
1,10,RECOVERED,26,1780306070.2551854
1,15,RECOVERED,27,1780306070.256949
1,37,RECOVERED,28,1780306070.2587926
1,33,RECOVERED,29,1780306070.2598033
1,7,RECOVERED,30,1780306070.2608526
1,17,RECOVERED,31,1780306070.2619627
1,18,RECOVERED,32,1780306070.2630985
1,22,RECOVERED,33,1780306070.2641656
1,20,RECOVERED,34,1780306070.2652357
1,35,RECOVERED,35,1780306070.2683916
1,26,RECOVERED,36,1780306070.2694747
1,16,RECOVERED,37,1780306070.270525
1,25,RECOVERED,38,1780306070.2714906
1,-1,COMPLETE_108.00,38,1780306070.273361
1,12,SENT,38,1780306076.892117
1,0,SENT,38,1780306077.4921331
1,27,SENT,38,1780306078.3001144
1,3,SENT,38,1780306078.8881545
1,19,SENT,38,1780306079.8121262
1,30,SENT,38,1780306080.436105
1,1,SENT,38,1780306081.16414
1,21,SENT,38,1780306081.9201012
1,5,SENT,38,1780306082.4081037
1,2,SENT,38,1780306088.8241184
1,10,SENT,38,1780306089.728118
1,15,SENT,38,1780306090.324119
1,37,SENT,38,1780306090.9047363
1,33,SENT,38,1780306091.8161242
1,7,SENT,38,1780306092.2841246
1,17,SENT,38,1780306092.8521261
1,18,SENT,38,1780306093.3001163
1,22,SENT,38,1780306094.0161247
1,20,SENT,38,1780306094.4001215
1,35,SENT,38,1780306101.1481385
1,26,SENT,38,1780306101.6921382
1,16,SENT,38,1780306102.10414
1,25,SENT,38,1780306102.684117
1,6,RECOVERED,1,1780307881.1292145
1,25,RECOVERED,2,1780307894.2711346
1,6,SENT,2,1780307896.0881362
1,25,SENT,2,1780307896.4641259
1,8,RECOVERED,3,1780307902.9479249
1,8,SENT,3,1780307907.7961242
1,27,RECOVERED,4,1780307913.8085616
1,27,SENT,4,1780307919.8041122
1,35,RECOVERED,5,1780307928.1095867
1,24,RECOVERED,6,1780307938.988583
1,13,RECOVERED,7,1780307938.989733
1,22,RECOVERED,8,1780307938.9909663
1,35,SENT,8,1780307945.832125
1,24,SENT,8,1780307946.3161402
1,13,SENT,8,1780307946.7281044
1,22,SENT,8,1780307947.4161057
1,11,RECOVERED,9,1780307961.8556452
1,11,SENT,9,1780307968.1841278
1,18,RECOVERED,10,1780307975.016397
1,18,SENT,10,1780307980.2921293
1,26,RECOVERED,11,1780307986.9356651
1,10,RECOVERED,12,1780307988.0439703
1,21,RECOVERED,13,1780307998.8469675
1,28,RECOVERED,14,1780307998.8500466
1,19,RECOVERED,15,1780307998.851667
1,31,RECOVERED,16,1780307998.8527503
1,16,RECOVERED,17,1780307998.8537476
1,15,RECOVERED,18,1780307998.8548002
1,32,RECOVERED,19,1780307998.8556685
1,9,RECOVERED,20,1780307998.8567758
1,12,RECOVERED,21,1780307998.8578165
1,23,RECOVERED,22,1780307998.859176
1,14,RECOVERED,23,1780307998.860588
1,26,SENT,23,1780308005.860113
1,10,SENT,23,1780308006.392106
1,21,SENT,23,1780308006.8121061
1,28,SENT,23,1780308007.5121171
1,19,SENT,23,1780308007.9921012
1,31,SENT,23,1780308008.640094
1,16,SENT,23,1780308017.6601026
1,15,SENT,23,1780308018.2200816
1,32,SENT,23,1780308018.8120713
1,9,SENT,23,1780308019.2560668
1,12,SENT,23,1780308019.8640912
1,23,SENT,23,1780308020.55209
1,14,SENT,23,1780308027.7121165
1,1,RECOVERED,24,1780308033.8908582
1,34,RECOVERED,25,1780308037.9891777
1,17,RECOVERED,26,1780308037.9907758
1,5,RECOVERED,27,1780308039.1524115
1,30,RECOVERED,28,1780308039.1578884
1,1,SENT,28,1780308039.912117
1,34,SENT,28,1780308040.4281144
1,17,SENT,28,1780308041.2602983
1,5,SENT,28,1780308041.9880974
1,30,SENT,28,1780308042.4680839
1,3,RECOVERED,29,1780308048.010003
1,20,RECOVERED,30,1780308048.0112088
1,37,RECOVERED,31,1780308048.0120769
1,4,RECOVERED,32,1780308048.0130613
1,0,RECOVERED,33,1780308048.0150206
1,36,RECOVERED,34,1780308048.0163782
1,29,RECOVERED,35,1780308048.017246
1,33,RECOVERED,36,1780308048.0183175
1,2,RECOVERED,37,1780308048.0193443
1,7,RECOVERED,38,1780308048.0211265
1,-1,COMPLETE_171.65,38,1780308048.0239475
1,3,SENT,38,1780308050.8401148
1,20,SENT,38,1780308051.5361106
1,37,SENT,38,1780308051.976101
1,4,SENT,38,1780308052.8961265
1,0,SENT,38,1780308053.7721088
1,36,SENT,38,1780308054.620097
1,29,SENT,38,1780308055.4921265
1,33,SENT,38,1780308056.1201153
1,2,SENT,38,1780308056.9000905
1,7,SENT,38,1780308063.2961192
1,30,RECOVERED,1,1780308423.4255855
1,4,RECOVERED,2,1780308424.5086129
1,15,RECOVERED,3,1780308435.3869946
1,30,SENT,3,1780308440.6561124
1,4,SENT,3,1780308441.588113
1,15,SENT,3,1780308442.4121056
1,22,RECOVERED,4,1780308447.4668267
1,27,RECOVERED,5,1780308451.8395658
1,22,SENT,5,1780308452.7241123
1,27,SENT,5,1780308453.628102
1,18,RECOVERED,6,1780308461.6252842
1,24,RECOVERED,7,1780308461.6284034
1,18,SENT,7,1780308465.0361238
1,24,SENT,7,1780308465.780097
1,6,RECOVERED,8,1780308486.7430997
1,6,SENT,8,1780308488.6241004
1,35,RECOVERED,9,1780308495.4594793
1,35,SENT,9,1780308500.176126
1,5,RECOVERED,10,1780308509.572693
1,9,RECOVERED,11,1780308509.5758672
1,33,RECOVERED,12,1780308509.5767405
1,31,RECOVERED,13,1780308509.5777152
1,26,RECOVERED,14,1780308509.578543
1,10,RECOVERED,15,1780308509.5796037
1,7,RECOVERED,16,1780308509.5806546
1,28,RECOVERED,17,1780308510.70559
1,5,SENT,17,1780308514.8841097
1,9,SENT,17,1780308515.3921034
1,33,SENT,17,1780308516.3041034
1,31,SENT,17,1780308517.060109
1,13,RECOVERED,18,1780308530.3826878
1,26,SENT,18,1780308535.6681254
1,10,SENT,18,1780308536.0921342
1,7,SENT,18,1780308536.8041153
1,28,SENT,18,1780308537.2561119
1,13,SENT,18,1780308537.9681096
1,8,RECOVERED,19,1780308545.5317569
1,8,SENT,19,1780308548.7521129
1,0,RECOVERED,20,1780308554.3244903
1,17,RECOVERED,21,1780308554.3256805
1,36,RECOVERED,22,1780308554.3264885
1,19,RECOVERED,23,1780308554.3276343
1,23,RECOVERED,24,1780308554.328642
1,21,RECOVERED,25,1780308554.3296278
1,3,RECOVERED,26,1780308554.330468
1,11,RECOVERED,27,1780308554.3315485
1,25,RECOVERED,28,1780308554.3325834
1,34,RECOVERED,29,1780308554.3336875
1,32,RECOVERED,30,1780308554.3345757
1,37,RECOVERED,31,1780308554.3356428
1,16,RECOVERED,32,1780308554.3367143
1,0,SENT,32,1780308561.004125
1,17,SENT,32,1780308561.6361015
1,36,SENT,32,1780308562.3520994
1,19,SENT,32,1780308563.2481005
1,23,SENT,32,1780308564.0040965
1,21,SENT,32,1780308564.916097
1,3,SENT,32,1780308574.4521282
1,11,SENT,32,1780308574.9841073
1,25,SENT,32,1780308575.492099
1,34,SENT,32,1780308576.1920984
1,32,SENT,32,1780308576.9080975
1,37,SENT,32,1780308584.340121
1,16,SENT,32,1780308584.7793143
1,20,RECOVERED,33,1780308591.3772655
1,1,RECOVERED,34,1780308591.3784473
1,29,RECOVERED,35,1780308591.3795028
1,20,SENT,35,1780308597.5761106
1,1,SENT,35,1780308598.5000916
1,29,SENT,35,1780308599.0441067
1,2,RECOVERED,36,1780308605.4123583
1,12,RECOVERED,37,1780308605.4135783
1,2,SENT,37,1780308609.6761196
1,12,SENT,37,1780308610.2041132
1,14,RECOVERED,38,1780308653.4490004
1,-1,COMPLETE_232.58,38,1780308653.4491644
1,14,SENT,38,1780308655.4881122
